company_name,employee_count,year_founded,website_url,product_category,proprietar_measurement,feature_criteria_discover,feature_criteria_target,feature_criteria_publish,feature_criteria_manage,feature_criteria_measure,feature_criteria_report,feature_criteria_optimize,data_criteria_owned,data_criteria_rented,insight_criteria_predictive,insight_criteria_reporting
#Paid,130,2013,www.hashtagpaid.com,Creator Marketing Platform,,1,0,0,1,1,1,0,0,1,0,1
Agorapulse,200,2010,www.agorapulse.com,Social Media Suite,,0,0,1,0,1,1,0,0,1,0,1
Aspire,320,2014,www.aspire.io,Affiliate Marketing Platform,,1,0,1,1,1,1,0,0,1,0,1
Audiense,100,2011,www.audiense.com,Audience Intelligence Platform,"Audience Intelligence, X Marketing",0,0,0,1,1,1,0,1,1,1,1
Braid AI,10,2023,www.braid.ai,Creator Marketing Platform,,0,0,1,1,1,1,0,0,1,0,1
Brandwatch,1000,1999,www.brandwatch.com,Social Analytics,,1,0,1,1,1,1,0,1,1,1,1
BuzzSumo,2,2013,www.buzzsumo.com,Content Maketing Platform,,1,0,0,1,1,1,0,0,1,0,1
Captiv8,200,2015,www.captiv8.io,Content Maketing Platform,,0,0,0,1,1,1,0,0,1,0,1
Cirqle,10,2015,https://thecirqle.com,Creator Marketing Platform,,0,0,0,0,1,1,0,1,1,0,1
CreativeX,120,2015,www.creativex.com,Content Maketing Platform,,0,0,0,1,1,1,1,0,1,0,1
CreatorIQ,330,2017,www.creatoriq.com,Creator Marketing Platform,"Social Media Value (SMV), Earned Media Value (EMV)",1,1,0,1,1,1,1,1,1,1,1
Dash Hudson,250,2013,www.dashhudson.com,Social Media Suite,,1,0,1,1,1,1,0,0,1,1,1
Facelift,180,2011,www.facelift-bbt.com,Social Media Suite,,1,1,1,1,1,1,1,0,1,0,1
Favikon,130,2018,www.favikon.com,Creator Marketing Platform,,1,0,0,1,1,1,0,0,1,1,1
Glystn,10,2021,www.glystn.com,Creator Marketing Platform,,1,0,0,0,1,1,0,1,1,1,1
Grin,130,2014,www.grin.co,Creator Marketing Platform,Package OS+,1,0,0,1,1,1,0,0,1,1,1
HypeAuditor,70,2017,www.hypeauditor.com,Creator Marketing Platform,Audience Quality Score (AQS),1,0,0,1,1,1,1,0,1,0,1
Impact,2000,2008,https://impact.com,Affiliate Marketing Platform,,1,0,0,0,1,1,0,0,1,0,1
Influencer,800,2015,www.influencer.com,Creator Marketing Platform,,1,1,0,1,1,1,0,0,1,0,1
Influencer marketing.ai,14,2017,https://influencermarketing.ai,Creator Marketing Platform,,1,0,0,1,1,1,0,0,1,0,1
Influencity,30,2014,www.influencity.com,Creator Marketing Platform,,1,0,0,1,0,1,0,0,1,0,1
Keyhole,15,2009,www.keyhole.co,Creator Marketing Platform,,0,0,0,1,1,1,0,0,1,0,1
Kolsquare,64,2024,https://www.kolsquare.com/en,Creator Marketing Platform,,1,0,0,0,1,1,0,0,1,0,1
Later,800,2014,www.later.com,Social Media Suite,,1,0,1,1,1,1,0,0,1,0,1
Lefty,120,2015,https://lefty.io,Creator Marketing Platform,,1,0,0,1,1,1,0,0,1,0,1
Measure Studio,14,2019,www.measure.studio,Social Analytics,,0,0,0,0,1,1,1,0,1,0,1
Meltwater,2500,2001,www.meltwater.com,Creator Marketing Platform,,0,0,0,1,1,1,1,1,1,1,1
Modash,70,2018,www.modash.io,Creator Marketing Platform,,1,0,0,1,1,1,0,0,1,0,1
Phyllo,80,2021,www.getphyllo.com,Social Data API,,0,0,0,1,1,1,0,0,1,0,1
Pixability,210,2010,www.pixability.com,Video Advertising Platform,"GenAI Contextual Segments (GCS), ",0,1,0,1,1,1,1,0,1,0,1
Qoruz,110,2015,www.qoruz.com,Creator Marketing Platform,,1,0,0,1,1,1,1,0,1,0,1
Reech,54,2013,https://www.reech.com/en/,Creator Marketing Platform,,1,0,0,0,1,1,1,0,1,0,1
Rocketium,100,2015,www.rocketium.com,Creative Management Platform,,0,0,0,0,1,1,1,0,1,0,1
Semrush,2000,2008,www.semrush.com,Content Marketing Platform,"Semrush Rank, Authority Score, ",1,1,1,1,1,1,1,1,1,1,1
SIFTSY,2,2024,https://getsiftsy.com/,Creator Marketing Platform,,0,0,0,0,1,1,0,0,1,0,1
Skeepers,428,2012,https://skeepers.io,Creator Marketing Platform,,1,1,0,1,1,1,0,0,1,0,1
Smartly,900,2013,www.smartly.io,Creative Management Platform,,1,1,1,1,1,1,1,0,1,1,1
Social Blade,20,2008,www.socialblade.com,Social Analytics,,1,0,0,1,1,1,0,1,1,0,1
Sprout Social,1600,2010,www.sproutsocial.com,Social Media Suite,,0,0,1,1,1,1,0,0,1,0,1
StatSocial,30,2014,www.statsocial.com,Creator Marketing Platform,Personality Insights,1,0,0,0,1,0,0,1,1,0,1
ThisThat,50,2017,www.thisthat.com,Creator Marketing Platform,,1,0,0,0,1,1,0,0,1,0,1
Traackr,100,2009,www.traackr.com,Creator Marketing Platform,Brand Vitality Score (VIT),1,0,1,1,1,1,0,0,1,0,1
Tubebuddy,40,2015,www.tubebuddy.com,Content Maketing Platform,"Channel Reviews, Health Report",0,0,1,1,1,1,0,0,1,0,1
Tubular Labs,100,2012,www.tubularlabs.com,Social Analytics,ContentGraph,1,0,0,1,1,1,1,1,1,1,1
Upfluence,130,2013,www.upfluence.com,Creator Marketing Platform,,1,0,1,1,1,1,0,0,1,0,1
vidmob,200,2014,www.vidmob.com,Video Advertising Platform,,0,1,0,1,1,1,1,1,0,1,1
Vidsy,200,2015,www.vidsy.co,Creative Management Platform,,1,1,1,1,1,1,1,0,1,0,1
Viewstats,16,2023,www.viewstats.com,Social Analytics,,1,0,0,0,0,1,0,0,1,0,1
Zefr,240,2009,www.zefr.com,Video Advertising Platform,,0,1,0,0,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,   ,
,,,,,,,,,,,,,, ,,
