company_name,employee_count,year_founded,website_url,product_category,proprietary_measurement,has_ai,feature_criteria_discover,feature_criteria_target,feature_criteria_publish,feature_criteria_manage,feature_criteria_measure,feature_criteria_report,feature_criteria_optimize,data_criteria_owned,data_criteria_rented,insight_criteria_predictive,insight_criteria_reporting
#Paid,130,2013,www.hashtagpaid.com,Creator Marketing Platform,,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Agentio,37,2023,https://www.agentio.com/,Creator Marketing Platform,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Agorapulse,200,2010,www.agorapulse.com,Social Media Suite,,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
Aspire,320,2014,www.aspire.io,Affiliate Marketing Platform,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audiense,100,2011,www.audiense.com,Audience Intelligence Platform,"Audience Intelligence, X Marketing",Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Braid AI,10,2023,www.braid.ai,Creator Marketing Platform,,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
Brandwatch,1000,1999,www.brandwatch.com,Social Analytics,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BuzzSumo,2,2013,www.buzzsumo.com,Content Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Captiv8,200,2015,www.captiv8.io,Content Marketing Platform,,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Channel Crawler,11,2023,https://channelcrawler.com/,Creator Discovery Tools,,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
The Cirqle,10,2015,https://thecirqle.com,Creator Marketing Platform,,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
CreativeX,120,2015,www.creativex.com,Content Marketing Platform,,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
CreatorIQ,330,2017,www.creatoriq.com,Creator Marketing Platform,"Social Media Value (SMV), Earned Media Value (EMV)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dash Hudson,250,2013,www.dashhudson.com,Social Media Suite,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
Element Human,22,2013,https://www.elementhuman.com/,Social Analytics,,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Facelift,180,2011,www.facelift-bbt.com,Social Media Suite,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Favikon,130,2018,www.favikon.com,Creator Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Glystn,10,2021,www.glystn.com,Creator Marketing Platform,,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Gospel Stats,0,0,https://get.gospelstats.com/,,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
Grin,130,2014,www.grin.co,Creator Marketing Platform,Package OS+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
HypeAuditor,70,2017,www.hypeauditor.com,Creator Marketing Platform,Audience Quality Score (AQS),No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Impact,2000,2008,https://impact.com,Affiliate Marketing Platform,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
Influencer,800,2015,www.influencer.com,Creator Marketing Platform,,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Influencer marketing.ai,14,2017,https://influencermarketing.ai,Creator Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Influencity,30,2014,www.influencity.com,Creator Marketing Platform,,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
Keyhole,15,2009,www.keyhole.co,Creator Marketing Platform,,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Kolsquare,64,2024,https://www.kolsquare.com/en,Creator Marketing Platform,,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
Later,800,2014,www.later.com,Social Media Suite,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lefty,120,2015,https://lefty.io,Creator Marketing Platform,,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Measure Studio,14,2019,www.measure.studio,Social Analytics,,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
Meltwater,2500,2001,www.meltwater.com,Creator Marketing Platform,,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Modash,70,2018,www.modash.io,Creator Marketing Platform,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
